project_name,campaign_id,month,yandex_rows,map_to_utm_campaign,map_to_project,map_confidence,comment
vea-professiya-pentester_RSYA-270226_1_rm221125_City_ml,707634725.0,2026-03,73,,ПБХ,0.9726,top_candidate_from_deal_name
vea-professiya-pentester_RSYA-270226_1_rm221125-RF,707634735.0,2026-03,71,,ПБХ,0.9859,top_candidate_from_deal_name
vea-professiya-pentester_RSYA-270226_1_rm221125-RF-SR-PAY-CONV-200,707811673.0,2026-03,68,,ПБХ,1.0,single_candidate
vea-professiya-pentester_RSYA-270226_1_rm221125-RF-PAY-CONV-200,707811553.0,2026-03,63,,ПБХ,0.9841,top_candidate_from_deal_name
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF,707634756.0,2026-03,47,,Blue Team Stepik,0.9787,top_candidate_from_deal_name
vea_cybered_start_v_ib_RSYA-110326_rm110326-RF_retarget,707977649.0,2026-03,34,,Программа «Старт в ИБ»,0.9412,top_candidate_from_deal_name
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-City_ml,707634746.0,2026-03,33,,Blue Team Stepik,0.9394,top_candidate_from_deal_name
vea_b2c_start_RSYA_120226_rm120226-RF_City_ml,707219401.0,2026-03,19,,Квиз,1.0,single_candidate
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF-SR-PAY-CONV-200,707811674.0,2026-03,16,,Blue Team Stepik,1.0,single_candidate
vea-start-karery-v-blue-team_RSYA-270226_1_rm061125-RF-PAY-CONV-200,707811554.0,2026-03,11,,Blue Team Stepik,1.0,single_candidate
