lead_key,rows_count,projects_count,revenue_raw
79915,5,2,0.0
126299,4,4,0.0
130815,4,2,0.0
102737,3,2,0.0
126631,3,3,0.0
128943,3,2,0.0
129147,3,2,0.0
130527,3,2,0.0
131937,3,2,0.0
133089,3,1,0.0
19173,3,1,0.0
24857,3,2,0.0
4979,3,1,0.0
55149,3,2,0.0
81133,3,2,0.0
121167,2,1,0.0
121797,2,1,0.0
121913,2,2,0.0
122481,2,2,0.0
122845,2,1,0.0
123165,2,1,0.0
126727,2,2,0.0
127763,2,2,0.0
127887,2,2,0.0
128665,2,2,0.0
128843,2,2,0.0
128929,2,2,0.0
128931,2,2,0.0
128939,2,2,0.0
128947,2,2,0.0
129013,2,1,0.0
129215,2,2,0.0
129713,2,1,0.0
129799,2,2,0.0
129973,2,2,0.0
130019,2,2,0.0
130343,2,2,0.0
130467,2,1,0.0
130507,2,2,0.0
130629,2,1,0.0
130737,2,2,0.0
130753,2,1,0.0
131723,2,1,0.0
131755,2,1,0.0
131875,2,2,0.0
132005,2,1,0.0
132787,2,1,0.0
133389,2,1,0.0
13399,2,1,0.0
19233,2,2,0.0
22873,2,2,0.0
34371,2,2,0.0
3709,2,2,0.0
5335,2,2,0.0
725,2,2,0.0
79101,2,2,0.0
84427,2,2,0.0
